,address,areas,backyard,bathrooms,bedrooms,category,floor_if_condo,municipal,postalcode,price,year
117,"601-440 19e Avenue, Lachine, QC",599 ft² (55.65 m²),,1.0,1.0,Condominium,6.0,229100.0,H8S 3S2,224900,2014
118,"110-2500 avenue Pierre-Dupuy, Ville-Marie (Centre-Ville et Vieux Mtl), QC",1 440 ft² (133.78 m²),South,1.5,1.0,Condominium,1.0,465000.0,H3C 4L1,475000,1989
119,"707-100 rue André-Prévost, L'Ile Des Soeurs, QC",874 ft² (81.20 m²),North-East,1.0,1.0,Condominium,7.0,,H3E 0C3,467000,2014
120,"A-5549 10e Avenue, Rosemont / La Petite Patrie, QC",890 ft² (82.68 m²),,1.0,2.0,Condominium,,,H1Y 2G9,234500,1950
121,"111-4950 rue de la Savane, Côte-des-Neiges / Notre-Dame-de-Grâce, QC",82.3 m² (885.87 ft²),,1.0,2.0,Condominium,1.0,222600.0,H4P 1T7,329000,2008
122,"462-1077 rue Saint-Mathieu, Ville-Marie (Centre-Ville et Vieux Mtl), QC",872 ft² (81.01 m²),,1.0,1.0,Condominium,4.0,282700.0,H3H 2S4,429000,1987
123,"5-1490 rue Saint-Jacques, Ville-Marie (Centre-Ville et Vieux Mtl), QC",1 000 ft² (92.90 m²),,1.0,2.0,Condominium,2.0,,H3C 4J4,624900,1985
124,"1104-7280 boulevard des Galeries d'Anjou, Anjou, QC",1 037 ft² (96.34 m²),,1.0,2.0,Condominium,11.0,294800.0,H1M 3Y1,339000,2006
125,"3992 avenue des Érables, Le Plateau-Mont-Royal, QC",52.8 m² (568.33 ft²),South-West,1.0,1.0,Condominium,2.0,235000.0,H2K 3V8,317000,1998
126,"303-1960 rue Saint-Jacques, Le Sud-Ouest, QC",744 ft² (69.12 m²),,1.0,1.0,Condominium,3.0,,H3J 2S1,329000,1985
127,"410-1811 rue William, Le Sud-Ouest, QC",914 ft² (84.91 m²),South-West,1.0,2.0,Condominium,4.0,391600.0,H3J 0A7,579000,2013
128,"303-126 boulevard Hymus, Pointe-Claire, QC",900 ft² (83.61 m²),South,1.0,1.0,Condominium,3.0,285000.0,H9R 1E8,284999,2011
129,"6543 avenue des Ormeaux, Anjou, QC",747 ft² (69.40 m²),,1.5,2.0,Condominium,,192000.0,H1K 2X4,182000,2013
130,"9460 rue Myra-Cree, Mercier / Hochelaga / Maisonneuve, QC",817 ft² (75.90 m²),South-West,1.0,2.0,Condominium,1.0,,H1K 0C9,259500,2010
131,"520-4225 rue Saint-Dominique, Le Plateau-Mont-Royal, QC",982 ft² (91.23 m²),,1.0,1.0,Condominium,5.0,419900.0,H2W 2T5,568000,2005
132,"608-1910 rue Basin, Griffintown, QC",890 ft² (82.68 m²),North-East,2.0,2.0,Condominium,6.0,,H3J 1S5,599000,2017
133,", Lachine, QC",819 ft² (76.09 m²),,1.0,2.0,Condominium,2.0,,,nformation provided by the seller,2005
134,"405-865 avenue Plymouth, Mont-Royal, QC",1 080 ft² (100.34 m²),West,2.0,2.0,Condominium,4.0,395800.0,H4P 1B2,565000,2013
135,"1826 rue de la Visitation, Ville-Marie (Centre-Ville et Vieux Mtl), QC",120 m² (1 291.67 ft²),East,1.0,2.0,Condominium,1.0,,H2L 3C4,469000,2001
136,"E-202-50 chemin Bates, Outremont, QC",108.7 m² (1 170.04 ft²),,2.0,2.0,Condominium,2.0,,H2V 1A8,555000,2001
137,"104-2000 avenue Claremont, Côte-des-Neiges / Notre-Dame-de-Grâce, QC",1 200 ft² (111.48 m²),,2.0,2.0,Condominium,1.0,,H3Z 2P8,559000,2007
138,"1601-1000 rue Ottawa, Griffintown, QC",731 ft² (67.91 m²),,1.0,2.0,Condominium,16.0,,H3C 0P3,497000,2014
139,"103-21 rue Sherbrooke Est, Le Plateau-Mont-Royal, QC",796 ft² (73.95 m²),,1.0,2.0,Condominium,1.0,293600.0,H2X 3V8,360000,1985
140,"4337 rue Joliette, Rosemont / La Petite Patrie, QC",1 000 ft² (92.90 m²),West,1.5,2.0,Condominium,,,H1X 3L8,293000,1988
141,"4-183 boulevard Bouchard, Dorval / L'Île Dorval, QC",961 ft² (89.28 m²),,1.0,2.0,Condominium,2.0,276500.0,H9S 1A9,345000,2011
142,"608-888 rue Wellington, Ville-Marie (Centre-Ville et Vieux Mtl), QC",549 ft² (51.00 m²),South-West,1.0,1.0,Condominium,6.0,264600.0,H3C 0N1,305000,2015
143,"12088 avenue Savard, Montréal-Nord, QC",1 235 ft² (114.74 m²),North-West,1.0,2.0,Condominium,3.0,250000.0,H1H 3N2,320000,1986
144,"7-1355 rue Georges-Vermette, Pointe-Aux-Trembles / Montréal-Est, QC",86.31 m² (929.03 ft²),,1.0,2.0,Condominium,2.0,156900.0,H1A 4Y5,169000,1987
145,"102-2823 rue Jacques-Hertel, Le Sud-Ouest, QC",586 ft² (54.44 m²),North,1.0,1.0,Condominium,1.0,,H4E 1S8,249000,2010
146,"3-4515 rue André-Laurendeau, Rosemont / La Petite Patrie, QC",98.8 m² (1 063.47 ft²),South-East,1.5,2.0,Condominium,2.0,,H1Y 3R6,472000,2005
147,"101-4900 boulevard de l'Assomption, Rosemont / La Petite Patrie, QC",85.4 m² (919.24 ft²),,1.5,2.0,Condominium,1.0,380400.0,H1T 0A2,425000,2011
148,"1506-6900 boulevard Gouin Est, Montréal-Nord, QC",1 068.31 ft² (99.25 m²),South-West,1.0,2.0,Condominium,15.0,273600.0,H1G 6L9,269000,1982
149,"825-1500 rue Basin, Griffintown, QC",663 ft² (61.59 m²),,1.0,1.0,Condominium,8.0,,H3C 0N3,390000,2014
150,"3310-3111 rue Victoria, Lachine, QC",787 ft² (73.11 m²),West,1.0,1.0,Condominium,3.0,,H8S 0B1,254500,2013
151,"101-4785 rue Messier, Le Plateau-Mont-Royal, QC",703 ft² (65.31 m²),,1.0,2.0,Condominium,1.0,296500.0,H2H 2J2,325000,2010
152,"3514 rue de Bordeaux, Le Plateau-Mont-Royal, QC",493 ft² (45.80 m²),West,1.0,1.0,Condominium,3.0,,H2K 3Z3,199900,1922
153,"219-750 32e Avenue, Lachine, QC",654 ft² (60.76 m²),,1.0,1.0,Condominium,2.0,,H8T 0A2,254000,2013
154,"405-2305 rue Remembrance, Lachine, QC",985 ft² (91.51 m²),,1.0,2.0,Condominium,4.0,,H8S 0A9,288000,2012
155,"109-4310 rue Saint-Jacques, Le Sud-Ouest, QC",1 016 ft² (94.39 m²),,2.0,2.0,Condominium,1.0,489000.0,H4C 1J6,655000,2017
156,"3519 rue Cartier, Le Plateau-Mont-Royal, QC",1 015 ft² (94.30 m²),East,1.0,4.0,Condominium,1.0,,H2K 4G1,400000,1910
157,"402-1550 boulevard Henri-Bourassa Ouest, Ahuntsic / Cartierville, QC",885.87 ft² (82.30 m²),South-East,1.0,2.0,Condominium,4.0,,H3M 3G4,249990,2005
158,"2735 rue des Equinoxes, Saint-Laurent, QC",1 260 ft² (117.06 m²),North,1.5,3.0,Condominium,,397800.0,H4R 0C8,489000,2010
159,"R2-5375 rue Beaubien Est, Rosemont / La Petite Patrie, QC",87.9 m² (946.15 ft²),West,1.0,2.0,Condominium,,267800.0,H1T 1W4,269900,2006
160,"C301-50 chemin Bates, Outremont, QC",900 ft² (83.61 m²),,1.0,2.0,Condominium,3.0,,H2V 1A8,395000,2001
161,"205-11131 rue Meighen, Pierrefonds / Roxboro, QC",970 ft² (90.12 m²),,2.0,2.0,Condominium,2.0,,H8Y 3H7,299900,2013
